SMILES,"Ki (nM)"
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,403
O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,20
OC[C@H]1OC(n2cnc3c(NCc4cccc5ccccc45)nc(Sc4ccccc4)nc32)[C@H](O)[C@@H]1O,1470
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NC(c4ccccc4)c4ccccc4)cc3)[nH]c2n(CCC)c1=O,120
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,90
OC[C@H]1OC(n2cnc3c(NC4CCCCC4)nc(Sc4ccccc4)nc32)[C@H](O)[C@@H]1O,160
OC[C@H]1OC(n2cnc3c(NN4CCCC4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,18400
Oc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,3950
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CCC)c1=O,17.5
CC(Cc1ccccc1)Nc1nc(Nc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,152
OC[C@H]1O[C@@H](n2cnc3c(NC4CC5CCC4C5)ncnc32)[C@H](O)[C@@H]1O,0.42
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,12.8
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,69.2
CC(c1ccccc1)N1C(=O)C2(CCCC2)c2c(O)ncnc21,3400
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(N)c12,878
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(O)c12,30000
O=S(=O)([O-])c1ccc(Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1.[Na+],74
O=S(=O)([O-])c1ccc(Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1.[Na+],74
Cc1nc2nc(-c3ccccc3)[nH]c(N[C@H](C)c3ccccc3)c-2c1C,6.7
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)ncnc32)[C@H](O)[C@@H]1O,1.3
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O,83.9
Cc1ccc([C@H](C)n2c3ccccc3c3c(N)nc(-c4ccccc4)nc32)cc1,297
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,8.76
O=C1Nc2ncnc(O)c2C12CCCC2,127000
CCNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(N)ncnc31)[C@H](O)[C@@H]2O,31.8
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)ncnc31)[C@H](O)[C@@H]2O,5.06
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(N)c12,4.7
C[C@H](c1ccccc1)N1C(=O)C2(CCCC2)C2=C1N=C(c1ccccc1)NC2N,180
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(O)c12,30000
CNc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,1470
C[C@@H](Cn1c2ccccc2c2c(N)nc(-c3ccccc3)nc21)c1ccccc1,570
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(O)c12,2980
O=S(=O)([O-])c1ccc(CCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1.[Na+],610
O=S(=O)([O-])c1ccc(CCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1.[Na+],610
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,52.7
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3cccc(Cl)c3)nc(N)c12,7.6
CC(c1ccccc1)n1c2ccccc2c2c(N)ncnc21,1130
OC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,3.5
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)nc(Cl)nc31)C[C@@H]2O,3600
C[C@H](c1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,2.6
C[C@@H](c1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,64
C[C@H](N)Cc1ccc(I)cc1,1820
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)c(Cl)c3)nc(N)c12,1800
Cc1c(C)n([C@H](C)c2ccccc2)c2ncnc(N[C@H](C)c3ccccc3)c12,2650
CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,1280
C[C@@H](c1ccccc1)n1c2ccccc2c2c(O)nc(-c3ccccc3)nc21,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3Cl)nc(N)c12,273
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3cccc(Cl)c3)nc(N)c12,485
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(O)c12,30000
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)ncnc31)C[C@@H]2O,5110
C[C@@H](Cc1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,320
NCCNC(=O)Cc1ccc(NC(=O)Cc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1,0.85
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O,141
CCCCC#Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,100000
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(N)c12,165
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,10.3
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,9.3
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,2600
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,1680
CC(=O)N(c1ccc(CC(=O)Nc2ccc(CC(=O)NCCN)cc2)cc1)c1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,9.3
CNc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,884
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)C[C@@H]2O,8730
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,14
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3Cl)nc(N)c12,9.6
Nc1nc(-c2ccccc2)nc2c1c1ccccc1n2-c1ccccc1,22
C[C@H](c1ccccc1)n1c2ccccc2c2c(O)nc(-c3ccccc3)nc21,30000
Nc1ncnc2c1nc(C#Cc1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,100000
Cc1nc2nc(-c3ccccc3)[nH]c(N[C@@H](C)c3ccccc3)c-2c1C,640
C[C@H](c1ccccc1)N1C(=O)C2(CCCC2)c2c(O)nc(-c3ccccc3)nc21,30000
CCCCCCCCCCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,21
Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,273
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)c(Cl)c3)nc(N)c12,330
Cc1ccc([C@@H](C)n2c3ccccc3c3c(N)nc(-c4ccccc4)nc32)cc1,14
N.O=S(=O)(O)c1ccc(CCCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,432
COc1ccc(-c2nc(N)c3c(C)c(C)n([C@H](C)c4ccccc4)c3n2)cc1,101
O=C1N(c2ccccc2)c2ncnc(O)c2C12CCCC2,1300
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(Cl)nc31)[C@H](O)[C@@H]2O,805
Cc1c(C)n([C@@H](C)c2ccccc2)c2ncnc(N[C@@H](C)c3ccccc3)c12,2530
O=S(=O)([O-])CCNc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O.[Na+],41
OC[C@H]1O[C@@H](n2cnc3c(NCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,12
OC[C@H]1O[C@@H](n2cnc3c(NCCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,7.5
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(N)c12,50
Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,100000
